,Gewässer,Name allg. gebr.,Kategorie,Badestellenlänge,Kreis Name,Längengrad,Breitengrad,Mögliche Belastungen,Barrierefrei,Wlan,ÖPNV,Baden ohne Aufsicht,Baden m. zeitw. Aufsicht,Eintritt,Liegeplätze ohne Schatten,Liegeplätze mit Schatten,Toiletten,Dusche,Umkleiden,Parken ohne Gebühren,Parken mit Gebühren,Strandkorbverleih,Campingplatz,Spielplatz,Gaststätte,Kiosk,Rudern,Tretboot,Surfen,Segeln,FKK-Strand,Hundestrand,Grillplatz
62,DESH_PR_0099,Weißenhäuser Strand,Küstengewässer,6000,Ostholstein,10.7933064253144,54.3147655346517,Cyanobakterien (Blaualgen) und Quallen,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein
71,DESH_PR_0116,"Fehmarn, Bannesdorf",Küstengewässer,7830,Ostholstein,11.2801656504861,54.4511693136206,Cyanobakterien (Blaualgen) und Quallen,Nein,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Ja,Nein,Nein,Ja,Ja,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein
72,DESH_PR_0118,"Fehmarn, Südstrand",Küstengewässer,4600,Ostholstein,11.2354643290305,54.4135289092301,Cyanobakterien (Blaualgen) und Quallen,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,Ja,Ja,Nein,Nein,Ja,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein
76,DESH_PR_0126,Mönkeberg,Küstengewässer,251,Plön,10.178794708263,54.3531153628099,Cyanobakterien (Blaualgen) und Quallen,Nein,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Ja,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein
77,DESH_PR_0128,Heikendorf,Küstengewässer,60,Plön,10.1970116062924,54.3722122163324,Cyanobakterien (Blaualgen) und Quallen,Nein,Nein,Nein,Nein,Nein,Ja,Nein,Nein,Ja,Ja,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein
78,DESH_PR_0129,Möltenort,Küstengewässer,270,Plön,10.1984458590115,54.3817092563025,Cyanobakterien (Blaualgen) und Quallen,Nein,Nein,Nein,Nein,Nein,Ja,Nein,Nein,Ja,Ja,Nein,Nein,Nein,Ja,Nein,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein
79,DESH_PR_0130,Laboe Kurstrand,Küstengewässer,950,Plön,10.2212705578378,54.4089735066404,Cyanobakterien (Blaualgen) und Quallen,Nein,Nein,Nein,Nein,Nein,Ja,Nein,Nein,Ja,Ja,Nein,Nein,Nein,Ja,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein
82,DESH_PR_0133,"Stein, Steiner Mole",Küstengewässer,240,Plön,10.2696950133884,54.4199956061829,Cyanobakterien (Blaualgen) und Quallen,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein
83,DESH_PR_0136,Kalifornien Kurstrand,Küstengewässer,1300,Plön,10.3690517437627,54.4308816368768,Cyanobakterien (Blaualgen) und Quallen,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein
84,DESH_PR_0138,Schönberger Strand,Küstengewässer,1080,Plön,10.4109046213866,54.4188698537466,Cyanobakterien (Blaualgen) und Quallen,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Nein,Ja,Ja,Nein,Nein,Nein
87,DESH_PR_0144,Hohwacht Kurstrand,Küstengewässer,1700,Plön,10.6651890910568,54.3274710080034,Cyanobakterien (Blaualgen) und Quallen,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Ja,Nein,Nein,Nein,Ja,Nein,Nein,Nein,Ja,Nein,Ja,Nein,Nein,Nein,Nein,Nein
89,DESH_PR_0146,"Blekendorf, Sehlendorfer Strand",Küstengewässer,1600,Plön,10.6946292977862,54.3085055339293,Cyanobakterien (Blaualgen) und Quallen,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Ja,Nein,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein
115,DESH_PR_0179,Badestelle Weseby an der Schlei,Küstengewässer,150,Rendsburg-Eckernförde,9.7114210773642,54.5059090163208,Cyanobakterien (Blaualgen),Nein,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein
118,DESH_PR_0183,Schönhagen an der Ostsee,Küstengewässer,1200,Rendsburg-Eckernförde,10.0326255429105,54.636287941425,Cyanobakterien (Blaualgen) und Quallen,Nein,Nein,Nein,Nein,Ja,Nein,Nein,Nein,Ja,Ja,Nein,Nein,Ja,Nein,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein
119,DESH_PR_0185,Hauptstrand in Damp an der Ostsee,Küstengewässer,1350,Rendsburg-Eckernförde,10.0273663883882,54.5873795046839,Cyanobakterien (Blaualgen) und Quallen,Nein,Nein,Nein,Nein,Ja,Nein,Nein,Nein,Ja,Ja,Nein,Nein,Ja,Ja,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein
120,DESH_PR_0198,Badestelle Borby in Eckernförde/Ostsee,Küstengewässer,200,Rendsburg-Eckernförde,9.84911311166888,54.4784853718932,Cyanobakterien (Blaualgen) und Quallen,Nein,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein
121,DESH_PR_0199,"Badestelle ""Am Dang"" in Eckernförde/Ostsee",Küstengewässer,400,Rendsburg-Eckernförde,9.84183857326508,54.4712006667112,Cyanobakterien (Blaualgen) und Quallen,Nein,Nein,Nein,Nein,Ja,Nein,Nein,Nein,Ja,Nein,Nein,Nein,Ja,Ja,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein
122,DESH_PR_0200,Hauptstrand in Eckernförde/Ostsee,Küstengewässer,400,Rendsburg-Eckernförde,9.84395078268566,54.4643456617408,Cyanobakterien (Blaualgen) und Quallen,Nein,Nein,Nein,Nein,Ja,Nein,Nein,Nein,Ja,Ja,Nein,Nein,Ja,Ja,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein
123,DESH_PR_0208,"Badestelle Eckernholm, Hohenhain an der Ostsee",Küstengewässer,600,Rendsburg-Eckernförde,10.0998556845008,54.4840580847066,Cyanobakterien (Blaualgen) und Quallen,Nein,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Ja,Nein,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein
124,DESH_PR_0209,Badestelle Dänisch-Nienhof an der Ostsee,Küstengewässer,610,Rendsburg-Eckernförde,10.1223400599398,54.4866668225344,Cyanobakterien (Blaualgen) und Quallen,Nein,Nein,Nein,Nein,Ja,Nein,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein
125,DESH_PR_0210,Ostseebad Strande - Kurstrand,Küstengewässer,500,Rendsburg-Eckernförde,10.1790401898758,54.4407516577998,Cyanobakterien (Blaualgen) und Quallen,Nein,Nein,Nein,Nein,Ja,Nein,Nein,Nein,Ja,Nein,Nein,Nein,Ja,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein
143,DESH_PR_0243,Damp Südstrand,Küstengewässer,100,Rendsburg-Eckernförde,10.0269049429128,54.5825062403824,Cyanobakterien (Blaualgen) und Quallen,Nein,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Ja,Nein,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,Nein,Ja,Nein
144,DESH_PR_0244,Eckernförde Südstrand,Küstengewässer,1600,Rendsburg-Eckernförde,9.85915434307485,54.4520411254928,Cyanobakterien (Blaualgen) und Quallen,Nein,Nein,Nein,Nein,Ja,Nein,Nein,Nein,Ja,Ja,Nein,Nein,Ja,Ja,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein
147,DESH_PR_0249,Wassersleben,Küstengewässer,500,Schleswig-Flensburg,9.42155448048143,54.8284449155983,Cyanobakterien (Blaualgen) und Quallen,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Ja,Ja,Ja,Nein,Ja,Ja,Nein,Nein,Ja,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein
148,DESH_PR_0250,Glücksburger Strand,Küstengewässer,500,Schleswig-Flensburg,9.53130317582624,54.8433498438572,Cyanobakterien (Blaualgen) und Quallen,Nein,Nein,Nein,Nein,Nein,Ja,Nein,Ja,Ja,Ja,Nein,Ja,Nein,Ja,Nein,Ja,Ja,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein
149,DESH_PR_0251,Holnis Drei,Küstengewässer,1000,Schleswig-Flensburg,9.59632570858203,54.8628197023812,Cyanobakterien (Blaualgen) und Quallen,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Ja,Nein,Nein,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja
150,DESH_PR_0252,Bockholmwik,Küstengewässer,100,Schleswig-Flensburg,9.61231061012437,54.8314904333429,Cyanobakterien (Blaualgen) und Quallen,Nein,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Ja,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein
152,DESH_PR_0255,Habernis,Küstengewässer,70,Schleswig-Flensburg,9.77617698073676,54.7973283866918,Cyanobakterien (Blaualgen) und Quallen,Nein,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein
153,DESH_PR_0259,"Schlei, Arnis",Küstengewässer,200,Schleswig-Flensburg,9.92807071308779,54.6291070842327,Zerkarien,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein
154,DESH_PR_0260,"Schlei, Lindaunis",Küstengewässer,200,Schleswig-Flensburg,9.82971442467323,54.5939820989489,Zerkarien,Nein,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein
155,DESH_PR_0266,"Schlei, Schleswig Luisenbad",Küstengewässer,100,Schleswig-Flensburg,9.55990447526464,54.5126324634892,Zerkarien,Nein,Nein,Nein,Nein,Ja,Nein,Nein,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Ja,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein
156,DESH_PR_0267,"Schlei, Fahrdorf",Küstengewässer,45,Schleswig-Flensburg,9.60145126452207,54.5080379030318,Zerkarien,Nein,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Ja,Ja,Nein,Ja,Nein,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein
167,DESH_PR_0284,"Schlei, Stexwig",Küstengewässer,15,Schleswig-Flensburg,9.64188010701017,54.5120377330181,Zerkarien,Nein,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein
168,DESH_PR_0288,Dollerupholz,Küstengewässer,100,Schleswig-Flensburg,9.70997139834204,54.8112198414764,Cyanobakterien (Blaualgen) und Quallen,Nein,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Ja,Ja,Nein,Ja,Nein,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein
