Name,Latitude,Longitude
Flensburg Mozartstraße,54.792932,9.470393
Flensburg Mozartstraße,54.792743,9.470671
Flensburg Mozartstraße,54.793405,9.469891
Flensburg Mozartstraße,54.792937,9.46956
Flensburg Mozartstraße/Einkaufszentrum,54.792292,9.471198
Flensburg Mozartstraße/Einkaufszentrum,54.792292,9.471198
Flensburg Mozartstraße/Einkaufszentrum,54.792415,9.471725
Flensburg Munketoft,54.77791,9.438238
Flensburg Munketoft,54.77791,9.438238
Flensburg Munketoft,54.777883,9.438175
Flensburg Museumsberg,54.784377,9.429165
Flensburg Museumsberg,54.784377,9.429165
Flensburg Museumsberg,54.784377,9.429196
Flensburg Mühlendamm,54.777405,9.441171
Flensburg Mühlendamm,54.777405,9.441171
Flensburg Mühlendamm,54.777396,9.441186
Flensburg Mühlenfriedhof,54.783967,9.421922
Flensburg Mühlenfriedhof,54.783967,9.421922
Flensburg Mühlenfriedhof,54.783393,9.422795
Flensburg Mühlenfriedhof,54.783766,9.421462
Flensburg Mühlental,54.755449,9.402388
Flensburg Mühlental,54.755174,9.401804
Flensburg Mühlental,54.755725,9.402973
Flensburg Nerongsallee,54.788755,9.419174
Flensburg Nerongsallee,54.788755,9.419174
Flensburg Nerongsallee,54.789746,9.420249
Flensburg Neuer Weg,54.794288,9.478482
Flensburg Neuer Weg,54.794249,9.478543
Flensburg Neuer Weg,54.794249,9.478387
Flensburg Neumarkt,54.780195,9.435122
Flensburg Neumarkt,54.780195,9.435122
Flensburg Neumarkt,54.780318,9.435196
Flensburg Neumarkt/Rathaus,54.780385,9.434891
Flensburg Neumarkt/Rathaus,54.780385,9.434891
Flensburg Nikolaus-Matthiesen-Straße,54.755343,9.399552
Flensburg Nikolaus-Matthiesen-Straße,54.755343,9.399552
Flensburg Norderallee,54.793484,9.417838
Flensburg Norderallee,54.793484,9.417838
Flensburg Norderallee,54.793698,9.416954
Flensburg Nordertor,54.795778,9.430208
Flensburg Nordertor,54.795778,9.430208
Flensburg Nordertor,54.795894,9.430298
Flensburg Ochsenweg,54.762203,9.395782
Flensburg Ochsenweg,54.762454,9.396064
Flensburg Ochsenweg,54.761944,9.395499
Flensburg Osterallee,54.809687,9.461517
Flensburg Osterallee,54.810315,9.461414
Flensburg Osterallee,54.809724,9.462193
Flensburg Osterallee,54.80985,9.46089
Flensburg Osterallee/Eibenweg,54.805204,9.480819
Flensburg Osterallee/Eibenweg,54.805204,9.480819
Flensburg Osterallee/Eibenweg,54.805204,9.480827
Flensburg Osterkoppel,54.815066,9.480913
Flensburg Osterkoppel,54.815066,9.480913
Flensburg Osterkoppel,54.815101,9.481061
Flensburg Ostseebadweg,54.80902,9.422308
Flensburg Ostseebadweg,54.80902,9.422308
Flensburg Ostseebadweg,54.808728,9.422359
Flensburg P+R Nordkreuz,54.797785,9.411217
Flensburg P+R Nordkreuz,54.797785,9.411217
Flensburg P+R Nordkreuz,54.798472,9.409964
Flensburg Parsevalstraße,54.790454,9.447472
Flensburg Parsevalstraße,54.790454,9.447472
Flensburg Parsevalstraße,54.790265,9.447275
Flensburg Paulus-Paulsen-Schule,54.799656,9.423174
Flensburg Paulus-Paulsen-Schule,54.799656,9.423174
Flensburg Raiffeisenstraße,54.778448,9.396686
Flensburg Raiffeisenstraße,54.778448,9.396686
Flensburg Ramsharde,54.806188,9.41117
Flensburg Ramsharde,54.806188,9.41117
Flensburg Ramsharde,54.806233,9.411132
Flensburg Rathaus,54.781962,9.433711
Flensburg Rathaus,54.781962,9.433711
Flensburg Richard-Wagner-Straße,54.791549,9.465571
Flensburg Richard-Wagner-Straße,54.791549,9.465571
Flensburg Richard-Wagner-Straße,54.791535,9.465579
Flensburg Rude,54.774971,9.430744
Flensburg Rude,54.774971,9.430744
Flensburg Rude,54.774971,9.430744
Flensburg Rummelgang,54.790687,9.428859
Flensburg Rummelgang,54.790687,9.428859
Flensburg Rummelgang,54.790616,9.428609
Flensburg Schifffahrtsmuseum,54.793134,9.433506
Flensburg Schifffahrtsmuseum,54.793134,9.433506
Flensburg Schifffahrtsmuseum,54.79226,9.433728
Flensburg Schleibogen,54.800421,9.462211
Flensburg Schleibogen,54.800421,9.462211
Flensburg Schleibogen,54.800396,9.46236
Flensburg Schottweg,54.799361,9.476927
Flensburg Schottweg,54.799414,9.476924
Flensburg Schottweg,54.799314,9.476969
Flensburg Schule Ramsharde,54.802573,9.419433
Flensburg Schule Ramsharde,54.802573,9.419433
Flensburg Schulze-Delitzsch-Straße,54.779037,9.449538
Flensburg Schulze-Delitzsch-Straße,54.779037,9.449538
Flensburg Schulze-Delitzsch-Straße,54.779063,9.449466
Flensburg Schäferhaus,54.776428,9.379355
Flensburg Schäferhaus,54.776428,9.379355
Flensburg Schäferhaus,54.776427,9.379798
Flensburg Seewarte,54.807403,9.459476
Flensburg Seewarte,54.807082,9.459255
Flensburg Seewarte,54.807811,9.45969
Flensburg Seewarte,54.807602,9.459714
Flensburg Solitüde,54.821295,9.490878
Flensburg Solitüde,54.821295,9.490878
Flensburg Solitüde,54.821295,9.490878
Flensburg Solitüde/Gaststätte,54.820662,9.488442
Flensburg Solitüde/Gaststätte,54.820662,9.488442
Flensburg Solitüde/Gaststätte,54.820706,9.48852
Flensburg Solitüder Waldhöhe,54.819432,9.487144
Flensburg Solitüder Waldhöhe,54.819432,9.487144
Flensburg Solitüder Waldhöhe,54.819463,9.487035
Flensburg Sonderburger Straße,54.810757,9.418811
Flensburg Sonderburger Straße,54.810757,9.418811
Flensburg Sonderburger Straße,54.810449,9.418659
Flensburg Sonwik,54.806044,9.452727
Flensburg Sonwik,54.806044,9.452727
Flensburg Sonwik,54.806095,9.452405
Flensburg Sportschule,54.814275,9.466128
Flensburg Sportschule,54.814316,9.466097
Flensburg Sportschule,54.813881,9.465271
Flensburg St. Franziskus-Hospital,54.793151,9.420658
Flensburg St. Franziskus-Hospital,54.793151,9.420658
Flensburg St. Franziskus-Hospital,54.793159,9.420867
Flensburg St. Pauli,54.771055,9.435219
Flensburg St. Pauli,54.771055,9.435219
Flensburg St. Pauli,54.770801,9.43526
Flensburg St.-Jürgen-Platz,54.78763,9.444377
Flensburg St.-Jürgen-Platz,54.78763,9.444377
Flensburg St.-Jürgen-Platz,54.787598,9.444283
Flensburg Stadion,54.801968,9.455323
Flensburg Stadion,54.801968,9.455323
Flensburg Stadion,54.802443,9.455624
Flensburg Stadion,54.801501,9.455084
Flensburg Stadtpark,54.789246,9.428486
Flensburg Stadtpark,54.789246,9.428486
Flensburg Stadtpark,54.789572,9.427735
Flensburg Stadttheater,54.786157,9.434075
Flensburg Stadttheater,54.786157,9.434075
Flensburg Stadttheater,54.786078,9.433498
Flensburg Steinfelder Weg,54.766327,9.444716
Flensburg Steinfelder Weg,54.766333,9.444577
Flensburg Steinfelder Weg,54.766322,9.444856
Flensburg Steingrund,54.81856,9.480418
Flensburg Steingrund,54.81856,9.480418
Flensburg Steingrund,54.818551,9.480277
Flensburg Stuhrsallee,54.781718,9.4296
Flensburg Stuhrsallee,54.78175,9.430086
Flensburg Stuhrsallee,54.781719,9.42993
Flensburg Stuhrsallee,54.781734,9.429464
Flensburg Stuhrsallee,54.781663,9.429292
Flensburg Südermarkt,54.782052,9.436911
Flensburg Südermarkt,54.782311,9.436677
Flensburg Südermarkt,54.781793,9.437146
Flensburg Sünderup/Ringstraße,54.775574,9.468998
Flensburg Sünderup/Ringstraße,54.775574,9.468998
Flensburg Sünderup/Ringstraße,54.77571,9.469027
Flensburg Sünderuper Weg,54.781069,9.456441
Flensburg Sünderuper Weg,54.781069,9.456441
Flensburg Sünderuper Weg,54.781067,9.45646
Flensburg Sünderuphof,54.775303,9.464768
Flensburg Sünderuphof,54.775303,9.464768
Flensburg Sünderuphof,54.775091,9.46403
Flensburg Tannenweg,54.807754,9.473288
Flensburg Tannenweg,54.807754,9.473288
Flensburg Tannenweg,54.807798,9.47328
Flensburg Taubenstraße,54.798883,9.413012
Flensburg Taubenstraße,54.798883,9.413012
Flensburg Taubenstraße,54.798813,9.412783
Flensburg Technologiezentrum(TGZ),54.762519,9.447296
Flensburg Technologiezentrum(TGZ),54.762519,9.447296
Flensburg Technologiezentrum(TGZ),54.762523,9.447226
Flensburg Terrassenstraße,54.803046,9.424282
Flensburg Terrassenstraße,54.803046,9.424282
Flensburg Terrassenstraße,54.803024,9.424151
Flensburg Terrassenstraße,54.803213,9.424309
Flensburg Theodor-Storm-Straße,54.77965,9.42119
Flensburg Theodor-Storm-Straße,54.77965,9.42119
Flensburg Theodor-Storm-Straße,54.77969,9.421349
Flensburg Tierheim,54.781356,9.398052
Flensburg Tierheim,54.781356,9.398052
Flensburg Tierheim,54.781716,9.400528
Flensburg Timm-Kröger-Weg,54.783284,9.407525
Flensburg Timm-Kröger-Weg,54.783284,9.407525
Flensburg Timm-Kröger-Weg,54.783319,9.407641
Flensburg Timm-Kröger-Weg/Hochhaus,54.784971,9.405458
Flensburg Timm-Kröger-Weg/Hochhaus,54.784971,9.405458
Flensburg Toosbüystraße,54.790637,9.432082
Flensburg Toosbüystraße,54.790622,9.432093
Flensburg Toosbüystraße,54.790649,9.432078
Flensburg Tremmerup,54.814008,9.486399
Flensburg Tremmerup,54.814008,9.486399
Flensburg Tremmerup,54.81416,9.486325
Flensburg Trögelsbyer Weg,54.789795,9.475225
Flensburg Trögelsbyer Weg,54.789795,9.475225
Flensburg Trögelsbyer Weg,54.789759,9.475239
Flensburg Twedt,54.797454,9.478301
Flensburg Twedt,54.797178,9.478702
Flensburg Twedt,54.797702,9.477837
Flensburg Twedter Feld,54.816569,9.486121
Flensburg Twedter Feld,54.816569,9.486121
Flensburg Twedter Feld,54.81621,9.486054
Flensburg Twedter Feld,54.816914,9.48614
Flensburg Twedter Plack,54.81587,9.47213
Flensburg Twedter Plack,54.81587,9.47213
Flensburg Twedter Plack,54.81568,9.472245
Flensburg Twedter Plack,54.816045,9.471953
Flensburg Twedter Plack,54.815698,9.472291
Flensburg Twedter Plack,54.815698,9.472291
Flensburg Twedter Plack,54.815698,9.472291
Flensburg Valentinerallee,54.768582,9.442016
Flensburg Valentinerallee,54.768582,9.442016
Flensburg Valentinerallee,54.768572,9.441992
Flensburg Wacholderbogen,54.816991,9.483839
Flensburg Wacholderbogen,54.816991,9.483839
Flensburg Wacholderbogen,54.816991,9.483854
Flensburg Waldschule,54.794316,9.416377
Flensburg Waldschule,54.794316,9.416377
Flensburg Waldschule,54.794316,9.416377
